model_std,dataset_std,gold_label_std,prediction_std,error_transition,text_for_review,confidence,prob_negative,prob_neutral,prob_positive,source_dataset
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,"Beyond Meat among the stocks set to benefit from ongoing pork shortage, Bernstein says",0.9912736,0.0028276213,0.9912736,0.005898723,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Every Bubble Eventually Finds Its Pin https://t.co/E3LesbBMP1,0.99897206,0.0005598552,0.99897206,0.00046813308,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Aramco Up for Third Session With Eye on Passive Flows: Inside EM,0.9932954,0.00025301118,0.9932954,0.0064515728,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"$BA - Boeing plane skids off runway in Istanbul, killing one passenger https://t.co/IBHUB8yLOO",0.99274194,0.99274194,0.006820058,0.000437989,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Trump said that a long-negotiated trade deal with China is “potentially very close” this morning. https://t.co/d1Pf2FYoyE,0.9802178,0.00043203554,0.9802178,0.019350203,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,"The RBA Turns Dovish, with Focus on Trade to Persist Throughout The Day",0.9989316,0.000904345,0.9989316,0.00016412459,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Capstone Turbine wins flare gas project order from Ecopetrol,0.9977952,0.0002539275,0.0019509005,0.9977952,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Communications Services Up On Rotation Into Cyclical Sectors -- Communications Services Roundup #economy… https://t.co/N0QkHtxl0d,0.7884355,0.0008085938,0.7884355,0.21075587,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,The Big Picture: No fundamental reason for 2019 holiday sales to disappoint $SPY-- https://t.co/w4dAzYCmAz… https://t.co/CNY9CEJica,0.9988335,0.00030431003,0.9988335,0.00086219906,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Opinion: In past cycles, a decline in unemployment below its natural rate has been a signal that wage pressures are… https://t.co/fAGrBcXEZW",0.9960752,0.9960752,0.0016008881,0.0023238568,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,positive,negative → positive,Bank of America sees demand surge for paycheck protection loans https://t.co/6feALqK8zN,0.6286605,0.0062122527,0.3651273,0.6286605,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0.6252717,0.36880338,0.6252717,0.0059249857,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"BHP is plans to increase its stake in SolGold, which develops projects in copper hot spot Ecuador https://t.co/JRxd5ww9Sy",0.98573595,0.00015804272,0.0141059635,0.98573595,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Coronavirus will probably destroy one of the stock market's biggest crutches https://t.co/6PAfslV0ul by @BrianSozzi https://t.co/yFTXFTKQV0,0.7949452,0.20442116,0.7949452,0.0006336848,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Highlight: “The U.S. consumer… [has] continued to de-lever,” notes AngelOakCap’s Sam Dunlap. “That’s really… what w… https://t.co/YFMEI1k0VV",0.5212672,0.39728156,0.08145128,0.5212672,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"KUDLOW: NO PLANS FOR CHINA, U.S. LEADERS TO MEET AT PRESENT

Tariff deadline is in 9 days",0.99949646,0.00030038168,0.99949646,0.00020311432,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,New developments added to @FedFRASER's COVID-19 timeline in the latest week: second historic rise in unemployment i… https://t.co/o4yYfNRbhA,0.68669003,0.68669003,0.3104475,0.0028624516,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Fun fact: there are about 35 million people still in credit-card debt from last year’s round of holiday shopping. H… https://t.co/jCGa4zu6Nl,0.9555246,0.043830622,0.9555246,0.00064474996,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,FCC Bigfoots Satellite Companies,0.99939704,0.00041304642,0.99939704,0.00018985289,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,Alibaba Stock Shows Strong Tailwinds from Subscriber Growth,0.99843496,0.99843496,0.0012615767,0.00030349693,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Expense report fraud opening the door to bigger financial losses,0.99706525,0.99706525,0.002641146,0.00029356033,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"Damned if they do, damned if they don't: Investors are punishing major oil companies for new crude reserves-and cle… https://t.co/mILVq1M0cW",0.93684787,0.061225697,0.93684787,0.0019264206,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,Stock Market Update: Wholesale inventories decline in December,0.99769104,0.99769104,0.0020315186,0.00027741404,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,BTIG points to breakfast pressure for Dunkin' Brands,0.97887886,0.020924307,0.97887886,0.00019691637,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Wall Street ends near flat after U.S., China announce trade deal",0.9392882,0.9392882,0.05966577,0.0010460787,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"Argentina's story: 
⏩ Leaders spend 
⏩ Investors sour 
⏩ Inflation spikes 
⏩ Recession hits
🔃 Repeat 
(via… https://t.co/2AnRzFq7MM",0.9981394,0.0016899998,0.9981394,0.00017068279,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"Lagarde Says ECB's Options Limited by Low Rates, Low Inflation",0.99926287,0.0005973701,0.99926287,0.00013968298,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,UPDATE 2-European stocks end flat as defensive gains offset auto slide,0.987288,0.987288,0.012441592,0.00027043058,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,Estee Lauder Q2 sales $4.62 bln vs. $4.01 bln; FactSet consensus $4.35 bln,0.8239956,0.8239956,0.0047637452,0.17124066,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Vanguard Real Estate $VNQ sweep buys 4450 January $60 puts to open $4.90 to $5 offers after it retested a key support break this week,0.8442719,0.0014134537,0.8442719,0.15431458,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,positive,negative → positive,Kohl's Q3 EPS 78 cents vs. 98 cents,0.98005956,0.01892339,0.0010170321,0.98005956,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,KUDLOW SAYS TRUMP IS NOT READY TO SIGN ANY TRADE DEAL WITH CHINA,0.9990362,0.000766653,0.9990362,0.00019716144,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,$GATX - GATX to sell American Steamship Company business segment https://t.co/AXjJVbiib6,0.905626,0.905626,0.09396069,0.0004134205,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Yet another reason to unplug: Cellphone injuries have risen over the past 20 years https://t.co/iUIC2yQjgK,0.9961211,0.9961211,0.0035355524,0.0003433412,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Activision Blizzard’s Revenue To See Double-Digit Decline In 2019?,0.6590276,0.6590276,0.3402258,0.00074667676,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Kylie deal seen as a positive for Coty,0.99832267,0.00028838316,0.0013888796,0.99832267,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,China Travel Bans Leave Thousands Stranded Around the World,0.93972814,0.93972814,0.059918657,0.00035326765,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"How likely is it that the U.S. will enter a recession? Our updating tracker will tell you. 

Sign up to get the lat… https://t.co/5w0lwFHRCF",0.9115123,0.9115123,0.0878557,0.00063195865,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,The number of 401(k) millionaires is rising — but there’s a catch. Some baby boomers are taking big risks. - The Washington Post,0.69271564,0.002059512,0.3052248,0.69271564,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,8x8 -2.9% on $75M convertible note issue,0.5560457,0.5560457,0.44270894,0.0012454018,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$PEP - PepsiCo: It's A Better Dividend Play Today Than You Think. Subscribe to Seeking Alpha for more:… https://t.co/4YwbDuC6X8,0.99709165,0.00022439095,0.99709165,0.0026838733,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Saudi Arabia is ramping up crude oil production in a bid to win a price war. Insights via @CMEGroup https://t.co/2PQijkKFcd,0.5038422,0.0014245448,0.4947333,0.5038422,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Barbados suffers second day of major power outages,0.64745826,0.64745826,0.35172012,0.0008215759,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Price of Gold Fundamental Daily Forecast – U.S. Dollar Uptick Limiting Gold’s Gains,0.5079588,0.4875104,0.5079588,0.0045307325,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,The U.K. reports a decline in the number of coronavirus-related deaths for the second day in a row https://t.co/RD7dWLp3kE,0.9872076,0.9872076,0.0054416135,0.007350776,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,UAE stimulus to help bank liquidity but may increase problem loans - Moody's #economy #MarketScreener… https://t.co/8rGhax4y8C,0.9981142,0.0016631293,0.9981142,0.00022267168,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Goldman Sachs Curbs New Lending on Coal and Arctic Oil,0.9428573,0.0032744454,0.053868257,0.9428573,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Foroohar: 2020 Election Poses Risk To Silicon Valley Tech Giants. Get more updates here: https://t.co/9UzZfKJoGd #business #finance #economy,0.848315,0.848315,0.15134977,0.0003352235,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Stock-index futures hold gains after retail sales, import prices data",0.9850273,0.0005891486,0.014383512,0.9850273,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,New tariffs are set to go into place on December 15 that would affect a variety of consumer products such as Chines… https://t.co/O9VG6iEBs7,0.9679469,0.9679469,0.031723473,0.0003296363,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,HSBC Says British Pound May Soar. Or Crash,0.9940592,0.00061490724,0.005325876,0.9940592,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Rally May Stall For Malaysia Stock Market - Nasdaq,0.9876459,0.010641179,0.9876459,0.0017130023,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,$LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz,0.9975145,0.002353198,0.9975145,0.00013230732,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,This Ultra-High-Yield Stock's Numbers Are Better Than They Look,0.84808964,0.0008022994,0.15110804,0.84808964,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,The Recent Rebound In Monthly Employment: Contradictory Micro And Macro Indications. https://t.co/MBEYKBqnS3 #business #markets #investing,0.96136844,0.96136844,0.037439983,0.0011915921,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,"$CLR (+4.3% pre) Continental Resources suspends dividend amid coronavirus woes - Reuters

https://t.co/tqpAqQbJR1",0.9983783,0.9983783,0.0011045209,0.0005172353,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Nestle India Accused Of Making Rs 90 Crore Undue Profit By Not Passing On GST Rate Cut Benefits,0.9987369,0.9987369,0.00091710844,0.00034597065,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Coronavirus cases worldwide are ‘going up very steeply,’ says NIH Director Francis Collins",0.88041717,0.88041717,0.11582943,0.0037533273,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Oil slips but holds near 2-month high as looming OPEC meeting expected to yield deeper cuts https://t.co/aYzVtRXGu2,0.7334883,0.24607827,0.7334883,0.020433469,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,$SPX - going to close red on the month? https://t.co/8uM7YBdsWL,0.99702865,0.99702865,0.0027389864,0.00023235922,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,$WCAGY $WRCDF - The Most Recent News About Wirecard AG Is Not Really News - But Problematic Nonetheless. Follow thi… https://t.co/a0D2f2opx8,0.9945234,0.9945234,0.005231931,0.0002446785,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Stocks Are Writing Checks the Economic Data Can’t Cash,0.8151351,0.8151351,0.18401445,0.0008504492,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0.9992418,0.00044405,0.9992418,0.00031415577,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,The Nasdaq Could Be In Trouble Before 2019 Is Out. Read more and sign up for updates: https://t.co/rfYVcCfma3… https://t.co/HTcvorUn8n,0.99870217,0.99870217,0.0010642211,0.0002335419,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Deluxe delivered record FY2019 revenue,0.99807525,0.00026175633,0.99807525,0.0016629511,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Japan Post Probe Finds 9,000 Cases of Missold Insurance: Yomiuri",0.99665195,0.99665195,0.0029201894,0.00042784208,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Income Lab Ideas: Distribution Cut - Don't Panic. Get more updates here: https://t.co/RO4gkAN22a #trading #finance #economy,0.9154108,0.9154108,0.08307463,0.0015145828,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Oil prices fall but hold near three-month high on trade deal agreement,0.9927044,0.0030545616,0.9927044,0.0042410595,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$CHFS red to green type move soon.,0.97158664,0.023039024,0.97158664,0.005374386,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Consumer Cos Up On Optimism Ahead Of Holiday Shopping Kickoff -- Consumer Roundup #economy #MarketScreener… https://t.co/5hCBNqLjZr,0.998798,0.0004511928,0.0007508124,0.998798,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,Gold bars in short supply due to coronavirus disruption https://t.co/EWyq7sdECJ,0.99857855,0.99857855,0.0011204345,0.00030109976,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"$HP - Helmerich & Payne: Dividend Safety Improving, Although Concerns Remain. Read more: https://t.co/vQv7uA4Vnp… https://t.co/O2CjjBd9Di",0.9981956,0.00017515833,0.001629253,0.9981956,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Chinese importers scoop up Brazilian soybeans amid U.S. trade uncertainty - Reuters

https://t.co/0zdyq5mhHT",0.8763115,0.8763115,0.12243092,0.0012576263,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"Amazon could be forced to spin off AWS, Oppenheimer says",0.95230454,0.047446944,0.95230454,0.00024845725,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Before the coronavirus struck, U.S. job openings stood at nearly 7 million https://t.co/gEijFZ3crn",0.7705315,0.17789295,0.051575564,0.7705315,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Apple delaying the theatrical release of “The Banker” after one of the movie’s producers was accused of assault by… https://t.co/rqPyMuLZob,0.9966708,0.9966708,0.0031158852,0.00021338237,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,“The Democrats are getting hit and slammed on Impeachment. It is getting less and less popular by the day.” @kilmeade @foxandfriends,0.94350874,0.94350874,0.056254677,0.00023657992,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$NGM $NGM $ICPT - Big partner boosts biotech with 120% upside - Raymond James https://t.co/sqrqPvLRC9,0.9246062,0.00037309236,0.9246062,0.075020686,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,FCA Investigates Fraud in Collapse of Two Listed Companies,0.99376017,0.0058385995,0.99376017,0.00040127707,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Record oil production cut hangs in the balance as G20 meeting concludes with no specifics https://t.co/MVPehLJcWr,0.89764315,0.89764315,0.101858884,0.0004980392,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$UTX - United Tech's Collins to expand landing systems operations https://t.co/iTyYsH2BEi,0.7190007,0.000683092,0.2803162,0.7190007,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,$WDC - Western Digital May Have Trouble Pushing Stock Price Higher. Subscribe to Seeking Alpha for more:… https://t.co/dutJc7l7Hq,0.98855954,0.009894584,0.98855954,0.0015458806,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"PG&E to cut power to 150,000 customer for fire risk",0.9980117,0.9980117,0.0017910555,0.00019731461,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,$CS - Credit Suisse power struggle mounts - Bloomberg https://t.co/rn1V98jRFH,0.8327605,0.8327605,0.16674331,0.00049617415,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Good news/bad news: Jobs growth continues, construction spending falters",0.9959869,0.9959869,0.0038437513,0.00016935004,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,UPDATE 1-Italian airline Alitalia's rescue in doubt as Atlantia backtracks,0.9853735,0.9853735,0.013878186,0.0007482669,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"The smog in Sydney is forcing offices to evacuate, as it's rated 11x worse than the ""hazardous"" level.… https://t.co/dFw6VfXpc9",0.97478414,0.97478414,0.024751892,0.00046404003,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$SCANX: Stocks/ETFs that traded to new 52 week highs/lows this session - New highs (37) outpacing new lows (30) https://t.co/mozUwgcLn9,0.9981117,0.00029080422,0.0015974925,0.9981117,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$LLNW: Limelight Networks issues in-line 2020 guidance https://t.co/EkPmoLUAxU,0.99904937,0.00019175443,0.99904937,0.00075890636,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,positive,negative → positive,A Booming Corner of Private Credit Has Some Investors on Edge,0.9935003,0.0005009724,0.005998706,0.9935003,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$ACER - Acer Therapeutics: Upcoming Catalysts. https://t.co/vseXJ9e1nH #business #investing #markets,0.5350989,0.00057650195,0.4643246,0.5350989,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,"Futures, Global Markets Soar For Second Day As Virus Fears Fade, Dollars Slides https://t.co/ORNlxqQtf5",0.8332425,0.0028298106,0.8332425,0.1639277,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$SES BINGO !!!!!!!!,0.96576434,0.00053837604,0.033697266,0.96576434,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,$BIL $JPST $VTV - Recession Risk Isn't Off The Table: Adjusting ETF Portfolios Accordingly (Podcast Transcript). Fo… https://t.co/3dcqWSJTnR,0.9992798,0.00044569292,0.9992798,0.0002746362,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Saudi Arabia and Kuwait have authorized the restart of oil production at the Wafra field from Sunday, more than fou… https://t.co/QzwNno2qrE",0.9659849,0.00036152557,0.03365357,0.9659849,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Target Hospitality Corp. Just Missed EPS By 34%: Here's What Analysts Think Will Happen Next,0.9990043,0.0005221609,0.9990043,0.00047344476,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"NTSB cites Uber, driver in fatal crash",0.546494,0.45226288,0.546494,0.0012431635,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$R - Ryder enhances its liquidity position with $400M public bond offering https://t.co/Pr8ZM0umo6,0.9954963,0.00015820007,0.004345535,0.9954963,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"$GBX: Greenbrier beats by $0.20, misses on revs; suspending FY20 guidance https://t.co/KhXutNgMZW",0.99371827,0.0058642183,0.99371827,0.0004174593,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,positive,negative → positive,"Bear-Market Bounce Breaks Despite ""Global Money-Printing Orgy""  https://t.co/d5ecBrunow",0.9981806,0.00034306108,0.0014762961,0.9981806,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Raytheon Shows Its Strength Heading Into United Technologies Deal,0.99842167,0.00030731002,0.0012709992,0.99842167,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$SINT familiar name. Loading zone. Worth a trade again. There is a gap to fill. https://t.co/8ksSOMveUD,0.9965513,0.00018788903,0.003260857,0.9965513,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$AUPH - Aurinia's Successful Study In Lupus Nephritis Changes The Scope Of Treatment Options For Patients. Follow t… https://t.co/DbMxN5iCwi,0.99875355,0.00019509008,0.99875355,0.0010512924,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Daimler, Volvo Win Dismissal of $950 Million Cartel Suit",0.99817574,0.0004977163,0.0013265569,0.99817574,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Monday's big rally is premature: financial advisor #economy #MarketScreener https://t.co/Ld6fdzqgQd https://t.co/nqWvTA19gR,0.9645304,0.9645304,0.034903314,0.0005662716,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,OPEC+ deal is much weaker than it looks,0.5479658,0.45088777,0.5479658,0.0011463608,TwitterFinancialNewsSentiment
